gfx,cu_num,M,N,K,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx950,256,304,65536,1536,cktile,12,0,48.5433,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_1_aqrm,1260.8,2904.13,0.0
gfx950,256,320,65536,1536,cktile,31,0,49.0353,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_3_aqrm,1313.84,2918.26,0.0
gfx950,256,336,65536,1536,cktile,31,0,49.9287,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_3_aqrm,1354.85,2908.54,0.0
gfx950,256,352,65536,1536,cktile,31,0,50.7614,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_3_aqrm,1396.08,2902.63,0.0
gfx950,256,368,65536,1536,cktile,32,0,50.8769,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_4_aqrm,1456.22,2937.74,0.0
gfx950,256,384,65536,1536,cktile,12,0,51.5822,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_1_aqrm,1498.76,2938.7,0.0
gfx950,256,400,65536,1536,cktile,32,0,68.8734,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_4_aqrm,1169.26,2231.73,0.0
gfx950,256,416,65536,1536,cktile,32,0,69.7417,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_4_aqrm,1200.89,2234.36,0.0
gfx950,256,432,65536,1536,cktile,12,0,70.217,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_1_aqrm,1238.63,2249.45,0.0
gfx950,256,448,65536,1536,cktile,31,0,71.3485,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_3_aqrm,1264.14,2243.52,0.0
gfx950,256,464,65536,1536,cktile,30,0,71.2374,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_2_aqrm,1311.33,2276.8,0.0
gfx950,256,480,65536,1536,cktile,31,0,71.7844,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_3_aqrm,1346.21,2289.01,0.0
gfx950,256,496,65536,1536,cktile,12,0,72.1443,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_1_aqrm,1384.14,2307.0,0.0
gfx950,256,8,129280,7168,ck,4,0,149.691,a8w8_blockscale_1x128x128_256x16x256x128_8x16_16x16_1x4_16x16x1_8x32x1_1x16x1x16_8_1x2_intrawave_v1,99.05,6204.81,0.0
gfx950,256,16,129280,7168,ck,4,0,151.1974,a8w8_blockscale_1x128x128_256x16x256x128_8x16_16x16_1x4_16x16x1_8x32x1_1x16x1x16_8_1x2_intrawave_v1,196.13,6157.05,0.0
gfx950,256,24,129280,7168,ck,9,0,156.669,a8w8_blockscale_1x128x128_256x32x256x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v1,283.91,5955.59,0.0
gfx950,256,32,129280,7168,ck,12,0,156.5722,a8w8_blockscale_1x128x128_256x32x128x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,378.79,5972.85,0.0
gfx950,256,40,129280,7168,ck,14,0,165.9599,a8w8_blockscale_1x128x128_256x64x256x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v1,446.7,5647.8,0.0
gfx950,256,48,129280,7168,ck,14,0,167.2019,a8w8_blockscale_1x128x128_256x64x256x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v1,532.06,5618.56,0.0
gfx950,256,56,129280,7168,ck,14,0,169.4491,a8w8_blockscale_1x128x128_256x64x256x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v1,612.5,5556.59,0.0
gfx950,256,64,129280,7168,ck,14,0,171.9203,a8w8_blockscale_1x128x128_256x64x256x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v1,689.94,5489.09,0.0
gfx950,256,72,129280,7168,cktile,11,0,179.2709,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_1,744.36,5275.88,0.0
gfx950,256,80,129280,7168,cktile,29,0,179.3757,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_4,826.58,5284.65,0.0
gfx950,256,88,129280,7168,cktile,28,0,183.1069,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_3,890.71,5188.57,0.0
gfx950,256,96,129280,7168,cktile,28,0,182.7238,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_3,973.72,5211.08,0.0
gfx950,256,104,129280,7168,cktile,27,0,184.6054,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_2,1044.11,5169.48,0.0
gfx950,256,112,129280,7168,cktile,28,0,185.7238,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_3,1117.66,5149.8,0.0
gfx950,256,120,129280,7168,cktile,27,0,186.7494,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_2,1190.92,5132.9,0.0
gfx950,256,128,129280,7168,cktile,27,0,187.7022,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_2,1263.86,5118.17,0.0
